XL,A,C,G,S,U,P,loss,nt,label,mass,round_4digits,1+,round_1+,simp_label,methyl_1+,fluoro_1+,azido_1+
S',0,0,0,0,0,0,_H2S,0.5,S'-H2S,94.016713,94.0167,95.024538,95.0245,X',,,
S,0,0,0,0,0,0,_H2S,1.0,S-H2S,226.058973,226.059,227.066798,227.0668,X,241.082448,245.057376,268.068195
S,0,0,0,0,0,1,_H2S_H2O,1.0,S+P-H2S-H2O,288.014741,288.0147,289.02256600000004,289.0226,X+P,303.03821600000003,307.013144,330.02396300000004
S,0,0,0,0,0,1,_H2S,1.0,S+P-H2S,306.025306,306.0253,307.033131,307.0331,X+P,321.048781,325.02370900000005,348.034528
S,0,0,0,0,0,2,_H2S_H2O,1.0,S+2P-H2S-H2O,367.981074,367.9811,368.988899,368.9889,X+2P,383.004549,386.979477,409.990296
S,0,0,0,0,0,2,_H2S,1.0,S+2P-H2S,385.991639,385.9916,386.9994640000001,386.9995,X+2P,401.0151140000001,404.99004200000013,428.0008610000001
S,0,1,0,0,0,1,_H2S_H2O,2.0,SC+P-H2S-H2O,513.089698,513.0897,514.097523,514.0975,XC+P,542.128823,550.078679,596.100317
S,0,0,0,0,1,1,_H2S_H2O,2.0,SU+P-H2S-H2O,514.073714,514.0737,515.081539,515.0815,XU+P,543.112839,551.0626950000001,597.084333
S,0,0,0,1,0,1,_H2S_H2O,2.0,SS+P-H2S-H2O,530.050871,530.0509,531.058696,531.0587,XS+P,559.089996,567.0398520000001,613.06149
S,0,1,0,0,0,1,_H2S,2.0,SC+P-H2S,531.100263,531.1003,532.1080880000001,532.1081,XC+P,560.139388,568.089244,614.1108820000001
S,0,0,0,0,1,1,_H2S,2.0,SU+P-H2S,532.084279,532.0843,533.0921040000001,533.0921,XU+P,561.123404,569.0732600000001,615.0948980000001
S,1,0,0,0,0,1,_H2S_H2O,2.0,SA+P-H2S-H2O,537.100931,537.1009,538.108756,538.1088,XA+P,566.140056,574.0899119999999,620.11155
S,0,0,0,1,0,1,_H2S,2.0,SS+P-H2S,548.061436,548.0614,549.069261,549.0693,XS+P,577.100561,585.0504169999999,631.072055
S,0,0,1,0,0,1,_H2S_H2O,2.0,SG+P-H2S-H2O,553.095846,553.0958,554.1036710000001,554.1037,XG+P,582.1349710000001,590.0848270000001,636.1064650000001
S,1,0,0,0,0,1,_H2S,2.0,SA+P-H2S,555.111496,555.1115,556.119321,556.1193,XA+P,584.150621,592.100477,638.122115
S,0,0,1,0,0,1,_H2S,2.0,SG+P-H2S,571.106411,571.1064,572.114236,572.1142,XG+P,600.145536,608.095392,654.11703
S,0,1,0,0,0,2,_H2S_H2O,2.0,SC+2P-H2S-H2O,593.056031,593.056,594.063856,594.0639,XC+2P,622.095156,630.045012,676.06665
S,0,0,0,0,1,2,_H2S_H2O,2.0,SU+2P-H2S-H2O,594.040047,594.04,595.047872,595.0479,XU+2P,623.079172,631.0290279999999,677.050666
S,0,0,0,1,0,2,_H2S_H2O,2.0,SS+2P-H2S-H2O,610.017204,610.0172,611.025029,611.025,XS+2P,639.056329,647.006185,693.027823
S,0,1,0,0,0,2,_H2S,2.0,SC+2P-H2S,611.066596,611.0666,612.074421,612.0744,XC+2P,640.105721,648.0555770000001,694.077215
S,0,0,0,0,1,2,_H2S,2.0,SU+2P-H2S,612.050612,612.0506,613.058437,613.0584,XU+2P,641.089737,649.039593,695.061231
S,1,0,0,0,0,2,_H2S_H2O,2.0,SA+2P-H2S-H2O,617.067264,617.0673,618.075089,618.0751,XA+2P,646.106389,654.056245,700.077883
S,0,0,0,1,0,2,_H2S,2.0,SS+2P-H2S,628.027769,628.0278,629.0355940000001,629.0356,XS+2P,657.066894,665.01675,711.038388
S,0,0,1,0,0,2,_H2S_H2O,2.0,SG+2P-H2S-H2O,633.062179,633.0622,634.070004,634.07,XG+2P,662.101304,670.05116,716.072798
S,1,0,0,0,0,2,_H2S,2.0,SA+2P-H2S,635.077829,635.0778,636.085654,636.0857,XA+2P,664.116954,672.06681,718.088448
S,0,0,1,0,0,2,_H2S,2.0,SG+2P-H2S,651.072744,651.0727,652.080569,652.0806,XG+2P,680.111869,688.061725,734.083363
S,0,1,0,0,0,3,_H2S_H2O,2.0,SC+3P-H2S-H2O,673.022364,673.0224,674.0301890000001,674.0302,XC+3P,702.061489,710.0113450000001,756.0329830000001
S,0,0,0,0,1,3,_H2S_H2O,2.0,SU+3P-H2S-H2O,674.00638,674.0064,675.0142050000001,675.0142,XU+3P,703.045505,710.995361,757.016999
S,0,0,0,1,0,3,_H2S_H2O,2.0,SS+3P-H2S-H2O,689.983537,689.9835,690.991362,690.9914,XS+3P,719.022662,726.972518,772.994156
S,0,1,0,0,0,3,_H2S,2.0,SC+3P-H2S,691.032929,691.0329,692.040754,692.0408,XC+3P,720.072054,728.0219099999999,774.043548
S,0,0,0,0,1,3,_H2S,2.0,SU+3P-H2S,692.016945,692.0169,693.02477,693.0248,XU+3P,721.05607,729.005926,775.027564
S,1,0,0,0,0,3,_H2S_H2O,2.0,SA+3P-H2S-H2O,697.033597,697.0336,698.041422,698.0414,XA+3P,726.072722,734.0225780000001,780.044216
S,0,0,0,1,0,3,_H2S,2.0,SS+3P-H2S,707.994102,707.9941,709.001927,709.0019,XS+3P,737.033227,744.9830830000001,791.004721
S,0,0,1,0,0,3,_H2S_H2O,2.0,SG+3P-H2S-H2O,713.028512,713.0285,714.036337,714.0363,XG+3P,742.067637,750.0174930000001,796.039131
S,1,0,0,0,0,3,_H2S,2.0,SA+3P-H2S,715.044162,715.0442,716.051987,716.052,XA+3P,744.083287,752.0331430000001,798.054781
S,0,0,1,0,0,3,_H2S,2.0,SG+3P-H2S,731.039077,731.0391,732.046902,732.0469,XG+3P,760.078202,768.0280580000001,814.049696
S,0,2,0,0,0,2,_H2S_H2O,3.0,SCC+2P-H2S-H2O,818.130988,818.131,819.138813,819.1388,XCC+2P,861.1857630000001,873.110547,942.143004
S,0,1,0,0,1,2,_H2S_H2O,3.0,SCU+2P-H2S-H2O,819.115004,819.115,820.122829,820.1228,XCU+2P,862.1697790000001,874.094563,943.12702
S,0,0,0,0,2,2,_H2S_H2O,3.0,SUU+2P-H2S-H2O,820.09902,820.099,821.106845,821.1068,XUU+2P,863.1537950000001,875.078579,944.111036
